"Date","Price","Open","High","Low","Vol.","Change %"
"01-01-2021","186.50","184.95","187.00","184.50","27.33M","1.44%"
"31-12-2020","183.85","184.85","187.50","182.80","48.98M","-0.16%"
"30-12-2020","184.15","183.10","185.40","180.40","38.58M","0.38%"
"29-12-2020","183.45","187.90","188.45","181.10","71.32M","-1.56%"
"28-12-2020","186.35","179.85","187.40","179.00","98.01M","5.91%"
"24-12-2020","175.95","172.00","178.00","172.00","73.83M","3.99%"
"23-12-2020","169.20","165.00","169.70","163.40","56.93M","2.58%"
"22-12-2020","164.95","164.55","169.20","156.70","110.01M","0.24%"
"21-12-2020","164.55","176.00","177.55","162.50","75.58M","-8.86%"
"18-12-2020","180.55","180.90","181.50","176.65","46.07M","-0.63%"
"17-12-2020","181.70","184.00","184.00","180.65","34.10M","-0.47%"
"16-12-2020","182.55","181.00","183.80","180.10","51.26M","2.04%"
"15-12-2020","178.90","176.45","179.70","173.25","41.19M","0.70%"
"14-12-2020","177.65","181.00","181.50","176.70","33.19M","-0.67%"
"11-12-2020","178.85","177.95","181.45","176.50","43.07M","0.70%"
"10-12-2020","177.60","182.70","182.70","176.40","38.37M","-2.79%"
"09-12-2020","182.70","183.00","186.40","181.65","40.30M","0.50%"
"08-12-2020","181.80","184.95","185.70","178.95","42.14M","-0.95%"
"07-12-2020","183.55","184.45","186.45","182.70","29.80M","-0.33%"
"04-12-2020","184.15","186.50","188.80","182.20","48.00M","-0.38%"
"03-12-2020","184.85","185.00","186.00","183.25","33.33M","0.68%"
"02-12-2020","183.60","184.00","187.35","181.10","88.11M","2.14%"
"01-12-2020","179.75","182.35","182.40","178.10","48.88M","-0.33%"
"27-11-2020","180.35","174.65","183.85","174.65","125.93M","3.80%"
"26-11-2020","173.75","171.60","175.00","171.05","39.09M","1.34%"
"25-11-2020","171.45","175.00","176.80","169.25","54.37M","-0.35%"
"24-11-2020","172.05","171.85","175.50","171.10","47.70M","0.79%"
"23-11-2020","170.70","169.50","173.90","165.55","54.57M","0.95%"
"20-11-2020","169.10","170.05","171.55","165.55","66.94M","0.68%"
"19-11-2020","167.95","171.40","176.35","166.55","109.45M","-3.20%"
"18-11-2020","173.50","158.85","178.80","158.55","171.80M","9.81%"
"17-11-2020","158.00","152.50","159.35","152.20","82.64M","7.96%"
"13-11-2020","146.35","150.00","150.00","145.35","32.57M","-3.21%"
"12-11-2020","151.20","150.95","153.85","150.00","56.15M","0.17%"
"11-11-2020","150.95","146.50","151.50","145.65","78.58M","3.39%"
"10-11-2020","146.00","144.05","146.70","142.75","68.79M","3.55%"
"09-11-2020","141.00","140.60","141.50","138.70","40.28M","1.44%"
"06-11-2020","139.00","137.65","142.30","137.65","67.97M","0.98%"
"05-11-2020","137.65","137.00","138.00","136.00","38.93M","1.29%"
"04-11-2020","135.90","135.60","137.00","134.00","44.68M","1.34%"
"03-11-2020","134.10","135.00","137.40","133.55","52.07M","0.94%"
